country,budget,budget,worlwide_gross_income,worlwide_gross_income,profit,profit,profit_ratio,n_movies
,max,mean,max,mean,max,mean,,
USA,356,30,2798,93,2553,63,7.76,3652
"UK, USA",250,38,1109,124,909,86,2.8,194
"USA, UK",250,51,1342,159,1217,108,2.38,149
"USA, Canada",200,30,995,81,940,52,2.58,139
"USA, Germany",150,44,546,97,433,53,1.08,109
UK,195,12,246,24,241,13,2.96,103
"Germany, USA",140,38,321,73,251,35,0.87,66
"Canada, USA",110,23,463,59,384,37,4.98,61
"USA, France",98,23,543,68,474,46,2.3,41
"France, USA",90,25,376,64,331,39,2.09,41
"USA, Australia",176,71,1148,209,988,138,2.08,37
"USA, Japan",160,43,525,128,391,85,4.54,35
"USA, Mexico",85,26,300,73,256,46,1.69,35
France,93,22,264,31,171,9,-0.04,30
Canada,125,12,65,6,25,-6,-0.68,30
"UK, France, USA",60,27,282,63,257,36,1.27,29
Japan,34,12,348,69,329,57,2.83,25
"Australia, USA",135,31,354,75,249,44,1.5,20
"USA, India",175,59,583,146,408,87,1.69,19
"USA, China",185,60,567,184,400,124,2.62,19
Australia,90,11,328,47,319,36,7.04,18
"China, Hong Kong",94,34,177,55,146,20,0.76,17
South Korea,32,7,75,29,66,22,3.72,16
"UK, France",34,13,210,37,176,24,2.49,16
"UK, Germany, USA",62,29,92,25,54,-4,-0.2,14
"China, USA",145,58,856,177,756,119,1.33,14
"USA, UK, France",50,20,164,54,127,35,2.12,14
"USA, United Arab Emirates",225,50,624,110,399,60,0.83,13
China,63,32,870,248,840,216,6.62,13
Mexico,12,3,99,18,94,15,4.97,12
"USA, Germany, Canada",70,35,307,82,262,47,0.82,12
"Hong Kong, USA",125,45,347,100,257,55,0.89,12
"Japan, USA",75,20,634,97,559,77,4.38,12
"USA, UK, Canada",200,75,746,274,546,200,1.6,11
"USA, Spain",111,29,296,57,185,28,1.47,11
"Mexico, USA",20,7,87,20,77,14,30.48,10
"USA, Hong Kong",55,29,446,153,416,124,5.35,10
"UK, Canada, USA",180,45,357,89,177,44,1.48,9
Spain,18,6,40,13,35,7,1.96,9
"USA, UK, Germany",92,47,610,156,558,109,2.04,9
"Italy, USA",45,16,30,6,27,-10,0.24,9
"USA, Italy",150,46,486,104,336,58,0.43,8
Hong Kong,15,9,32,14,25,6,1.02,8
Russia,30,9,68,24,46,15,2.51,8
"UK, Canada",35,18,49,13,34,-4,-0.06,8
